municipality,valid_rating_count,evidence_strength_counts,claim_relevance_counts
Fremont,5,"{""moderate"": 4, ""weak"": 1}","{""context_only"": 2, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 2}"
Friendsville,1,"{""not_supported"": 1}","{""not_claim_ready"": 1}"
Front Royal,2,"{""weak"": 2}","{""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 1}"
Fruit Heights,5,"{""not_supported"": 1, ""strong"": 1, ""weak"": 3}","{""context_only"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Fruitport charter,5,"{""not_supported"": 1, ""weak"": 4}","{""context_only"": 4, ""not_claim_ready"": 1}"
Gadsden,2,"{""moderate"": 2}","{""context_only"": 1, ""direct_text_claim"": 1}"
Gaines charter,1,"{""weak"": 1}","{""context_only"": 1}"
Gambell,8,"{""moderate"": 4, ""strong"": 1, ""weak"": 3}","{""context_only"": 1, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 5}"
Gardena,15,"{""moderate"": 5, ""not_supported"": 1, ""strong"": 3, ""weak"": 6}","{""context_only"": 5, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 5, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
Garfield charter,4,"{""not_supported"": 2, ""strong"": 1, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Garretson,13,"{""moderate"": 5, ""strong"": 7, ""weak"": 1}","{""direct_text_claim"": 2, ""quantitative_compensation_claim"": 11}"
Gatesville,3,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 1}","{""context_only"": 1, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1}"
Genesee charter,1,"{""moderate"": 1}","{""quantitative_compensation_claim"": 1}"
Geneva,24,"{""moderate"": 2, ""not_supported"": 4, ""strong"": 12, ""weak"": 6}","{""context_only"": 7, ""direct_text_claim"": 6, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 9}"
Genoa,48,"{""moderate"": 9, ""not_supported"": 4, ""strong"": 11, ""weak"": 24}","{""context_only"": 22, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 17}"
Genoa City,4,"{""moderate"": 1, ""not_supported"": 2, ""weak"": 1}","{""context_only"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Gibsonburg,2,"{""weak"": 2}","{""quantitative_compensation_claim"": 2}"
Gibsonville,4,"{""moderate"": 2, ""not_supported"": 1, ""weak"": 1}","{""context_only"": 2, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 1}"
Gladstone,21,"{""moderate"": 2, ""not_supported"": 4, ""strong"": 6, ""weak"": 9}","{""context_only"": 11, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 3}"
Glasgow,3,"{""strong"": 1, ""weak"": 2}","{""context_only"": 2, ""direct_text_claim"": 1}"
Glassboro,9,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 5, ""weak"": 2}","{""context_only"": 1, ""direct_text_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 5}"
Glen Carbon,6,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 3}","{""context_only"": 1, ""direct_text_claim"": 2, ""quantitative_compensation_claim"": 3}"
Glen Ridge,10,"{""moderate"": 3, ""strong"": 6, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 4, ""quantitative_compensation_claim"": 5}"
Glen Rock,26,"{""moderate"": 6, ""not_supported"": 3, ""strong"": 12, ""weak"": 5}","{""context_only"": 5, ""direct_text_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 18}"
Glen Ullin,1,"{""weak"": 1}","{""context_only"": 1}"
Glenarden,1,"{""moderate"": 1}","{""context_only"": 1}"
Glenburn,2,"{""strong"": 1, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 1}"
Glencoe,2,"{""moderate"": 1, ""strong"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 1}"
Glenville,1,"{""strong"": 1}","{""quantitative_compensation_claim"": 1}"
Glenwood,2,"{""not_supported"": 2}","{""context_only"": 2}"
Glocester,24,"{""moderate"": 5, ""not_supported"": 3, ""strong"": 7, ""weak"": 9}","{""context_only"": 9, ""direct_text_claim"": 4, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 10}"
Gold Bar,5,"{""moderate"": 1, ""not_supported"": 1, ""weak"": 3}","{""context_only"": 4, ""documentary_mechanism_claim"": 1}"
Gold Beach,6,"{""moderate"": 1, ""strong"": 1, ""weak"": 4}","{""context_only"": 4, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 1}"
Goodland,8,"{""moderate"": 2, ""strong"": 2, ""weak"": 4}","{""context_only"": 4, ""direct_text_claim"": 2, ""quantitative_compensation_claim"": 2}"
Goodlettsville,3,"{""strong"": 1, ""weak"": 2}","{""context_only"": 1, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 1}"
Gordon,2,"{""strong"": 1, ""weak"": 1}","{""direct_text_claim"": 1, ""quantitative_compensation_claim"": 1}"
Gordonsville,6,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 1, ""weak"": 2}","{""context_only"": 3, ""quantitative_compensation_claim"": 3}"
Gorham,26,"{""moderate"": 8, ""not_supported"": 2, ""strong"": 10, ""weak"": 6}","{""context_only"": 5, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 14}"
Goshen,37,"{""moderate"": 6, ""not_supported"": 4, ""strong"": 23, ""weak"": 4}","{""context_only"": 6, ""direct_text_claim"": 6, ""documentary_mechanism_claim"": 5, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 17, ""source_navigation_claim"": 2}"
Graham,15,"{""moderate"": 6, ""not_supported"": 2, ""strong"": 3, ""weak"": 4}","{""context_only"": 2, ""direct_text_claim"": 4, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 6}"
Grain Valley,36,"{""moderate"": 9, ""not_supported"": 7, ""strong"": 5, ""weak"": 15}","{""context_only"": 11, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 6, ""not_claim_ready"": 5, ""quantitative_compensation_claim"": 11}"
Gramercy,3,"{""not_supported"": 1, ""weak"": 2}","{""context_only"": 2, ""not_claim_ready"": 1}"
Granbury,5,"{""not_supported"": 1, ""strong"": 2, ""weak"": 2}","{""context_only"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1, ""source_navigation_claim"": 1}"
Granby,13,"{""moderate"": 5, ""not_supported"": 1, ""strong"": 4, ""weak"": 3}","{""context_only"": 6, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 6}"
Grand Blanc,13,"{""moderate"": 1, ""strong"": 11, ""weak"": 1}","{""direct_text_claim"": 4, ""quantitative_compensation_claim"": 9}"
Grand Blanc charter,15,"{""moderate"": 3, ""not_supported"": 1, ""strong"": 9, ""weak"": 2}","{""context_only"": 2, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 10}"
Grand Chute,24,"{""moderate"": 4, ""not_supported"": 5, ""strong"": 6, ""weak"": 9}","{""context_only"": 7, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 4, ""quantitative_compensation_claim"": 9}"
Grand Haven,1,"{""strong"": 1}","{""quantitative_compensation_claim"": 1}"
Grand Haven charter,8,"{""moderate"": 3, ""not_supported"": 2, ""weak"": 3}","{""context_only"": 3, ""direct_text_claim"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 1}"
Grand Island,4,"{""not_supported"": 1, ""strong"": 2, ""weak"": 1}","{""direct_text_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 1}"
Grand Isle,7,"{""moderate"": 1, ""strong"": 1, ""weak"": 5}","{""context_only"": 4, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 2}"
Grangeville,4,"{""moderate"": 1, ""not_supported"": 1, ""weak"": 2}","{""context_only"": 1, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Granite Falls,16,"{""moderate"": 4, ""not_supported"": 1, ""strong"": 8, ""weak"": 3}","{""context_only"": 2, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 7}"
Grantham,14,"{""moderate"": 6, ""strong"": 5, ""weak"": 3}","{""context_only"": 1, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 9}"
Grantsville,21,"{""moderate"": 6, ""strong"": 5, ""weak"": 10}","{""context_only"": 5, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 5, ""quantitative_compensation_claim"": 8, ""source_navigation_claim"": 1}"
Gray,18,"{""moderate"": 4, ""not_supported"": 2, ""strong"": 2, ""weak"": 10}","{""context_only"": 9, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 1, ""source_navigation_claim"": 1}"
Great Bend,2,"{""strong"": 1, ""weak"": 1}","{""documentary_mechanism_claim"": 2}"
Greene,1,"{""weak"": 1}","{""documentary_mechanism_claim"": 1}"
Greenland,1,"{""moderate"": 1}","{""quantitative_compensation_claim"": 1}"
Greenville,12,"{""moderate"": 1, ""not_supported"": 4, ""strong"": 4, ""weak"": 3}","{""context_only"": 3, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 4}"
Greenwich,48,"{""moderate"": 6, ""not_supported"": 4, ""strong"": 16, ""weak"": 22}","{""context_only"": 17, ""direct_text_claim"": 6, ""documentary_mechanism_claim"": 5, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 18}"
Greenwood,6,"{""moderate"": 2, ""strong"": 1, ""weak"": 3}","{""context_only"": 2, ""direct_text_claim"": 2, ""quantitative_compensation_claim"": 2}"
Greenwood Village,1,"{""weak"": 1}","{""direct_text_claim"": 1}"
Gregory,2,"{""moderate"": 1, ""strong"": 1}","{""quantitative_compensation_claim"": 2}"
Gretna,2,"{""strong"": 1, ""weak"": 1}","{""context_only"": 1, ""documentary_mechanism_claim"": 1}"
Gridley,15,"{""moderate"": 4, ""strong"": 4, ""weak"": 7}","{""context_only"": 4, ""direct_text_claim"": 2, ""quantitative_compensation_claim"": 8, ""source_navigation_claim"": 1}"
Griffin,5,"{""weak"": 5}","{""context_only"": 3, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 1}"
Grosse Pointe Farms,18,"{""not_supported"": 2, ""strong"": 8, ""weak"": 8}","{""context_only"": 4, ""direct_text_claim"": 2, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 9}"
Grosse Pointe Park,11,"{""moderate"": 3, ""not_supported"": 1, ""strong"": 2, ""weak"": 5}","{""context_only"": 4, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
Grosse Pointe Woods,8,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 5, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 4}"
Grottoes,4,"{""moderate"": 1, ""strong"": 3}","{""quantitative_compensation_claim"": 4}"
Grove City,2,"{""not_supported"": 1, ""weak"": 1}","{""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Grovetown,5,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 1, ""weak"": 2}","{""documentary_mechanism_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 2}"
Grundy Center,4,"{""moderate"": 1, ""not_supported"": 2, ""weak"": 1}","{""context_only"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Guadalupe,17,"{""moderate"": 3, ""strong"": 8, ""weak"": 6}","{""context_only"": 2, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 3, ""quantitative_compensation_claim"": 10}"
Guilford,18,"{""moderate"": 6, ""not_supported"": 1, ""strong"": 6, ""weak"": 5}","{""context_only"": 2, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 7}"
Gulf Breeze,8,"{""moderate"": 1, ""not_supported"": 2, ""strong"": 2, ""weak"": 3}","{""context_only"": 3, ""direct_text_claim"": 3, ""not_claim_ready"": 2}"
Gulf Shores,4,"{""moderate"": 2, ""not_supported"": 1, ""weak"": 1}","{""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
Gustavus,4,"{""moderate"": 1, ""strong"": 1, ""weak"": 2}","{""context_only"": 1, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 2}"
Gypsum,5,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 1, ""weak"": 2}","{""context_only"": 2, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Hackettstown,2,"{""moderate"": 1, ""strong"": 1}","{""quantitative_compensation_claim"": 2}"
Hailey,1,"{""weak"": 1}","{""context_only"": 1}"
Haledon,5,"{""moderate"": 3, ""weak"": 2}","{""context_only"": 2, ""quantitative_compensation_claim"": 3}"
Hales Corners,23,"{""moderate"": 4, ""not_supported"": 2, ""strong"": 11, ""weak"": 6}","{""context_only"": 3, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 10}"
Hallowell,6,"{""not_supported"": 1, ""strong"": 1, ""weak"": 4}","{""context_only"": 3, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""source_navigation_claim"": 1}"
Halstead,3,"{""moderate"": 2, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1}"
Hamburg,11,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 4, ""weak"": 5}","{""context_only"": 2, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 6}"
Hamilton,16,"{""moderate"": 4, ""not_supported"": 2, ""strong"": 5, ""weak"": 5}","{""context_only"": 5, ""direct_text_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 8}"
Hampton,2,"{""strong"": 1, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 1}"
Hancock,1,"{""strong"": 1}","{""quantitative_compensation_claim"": 1}"
Hanover,40,"{""moderate"": 7, ""not_supported"": 1, ""strong"": 17, ""weak"": 15}","{""context_only"": 9, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 5, ""quantitative_compensation_claim"": 22}"
Hanover Park,9,"{""not_supported"": 1, ""strong"": 4, ""weak"": 4}","{""context_only"": 5, ""direct_text_claim"": 2, ""quantitative_compensation_claim"": 2}"
Hardwick,4,"{""moderate"": 1, ""weak"": 3}","{""context_only"": 2, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 1}"
Harlan,2,"{""moderate"": 1, ""weak"": 1}","{""quantitative_compensation_claim"": 2}"
Harlem,3,"{""not_supported"": 2, ""weak"": 1}","{""context_only"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Harper Woods,13,"{""moderate"": 2, ""strong"": 10, ""weak"": 1}","{""direct_text_claim"": 4, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 7}"
Harpswell,12,"{""moderate"": 2, ""not_supported"": 6, ""strong"": 2, ""weak"": 2}","{""context_only"": 7, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
Harrah,4,"{""moderate"": 1, ""strong"": 1, ""weak"": 2}","{""context_only"": 1, ""direct_text_claim"": 2, ""source_navigation_claim"": 1}"
Harriman,15,"{""moderate"": 1, ""not_supported"": 2, ""strong"": 5, ""weak"": 7}","{""context_only"": 3, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 6}"
Harrisburg,11,"{""moderate"": 4, ""not_supported"": 3, ""strong"": 3, ""weak"": 1}","{""context_only"": 2, ""direct_text_claim"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 5}"
Harrison,33,"{""moderate"": 6, ""not_supported"": 1, ""strong"": 18, ""weak"": 8}","{""context_only"": 6, ""direct_text_claim"": 6, ""documentary_mechanism_claim"": 5, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 15}"
Harrisonville,14,"{""moderate"": 3, ""not_supported"": 5, ""strong"": 3, ""weak"": 3}","{""context_only"": 4, ""direct_text_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 7}"
Hartford,6,"{""not_supported"": 2, ""strong"": 3, ""weak"": 1}","{""context_only"": 3, ""quantitative_compensation_claim"": 3}"
Hartland,19,"{""moderate"": 4, ""strong"": 9, ""weak"": 6}","{""context_only"": 2, ""direct_text_claim"": 6, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 8}"
Hartselle,2,"{""moderate"": 1, ""strong"": 1}","{""quantitative_compensation_claim"": 2}"
Harvey,28,"{""moderate"": 6, ""not_supported"": 6, ""strong"": 9, ""weak"": 7}","{""context_only"": 9, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 10}"
Harwich,13,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 6, ""weak"": 5}","{""context_only"": 4, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 3, ""quantitative_compensation_claim"": 5}"
Hastings,13,"{""moderate"": 1, ""not_supported"": 2, ""strong"": 3, ""weak"": 7}","{""context_only"": 8, ""quantitative_compensation_claim"": 5}"
Hatch,7,"{""moderate"": 2, ""not_supported"": 2, ""strong"": 2, ""weak"": 1}","{""context_only"": 4, ""quantitative_compensation_claim"": 3}"
Havelock,8,"{""moderate"": 1, ""not_supported"": 3, ""strong"": 1, ""weak"": 3}","{""context_only"": 4, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
Hayden,2,"{""not_supported"": 1, ""strong"": 1}","{""direct_text_claim"": 1, ""not_claim_ready"": 1}"
Hazel Park,13,"{""moderate"": 2, ""not_supported"": 3, ""strong"": 3, ""weak"": 5}","{""context_only"": 6, ""direct_text_claim"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 3}"
Hazen,3,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 1}","{""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
Hebron,3,"{""strong"": 2, ""weak"": 1}","{""quantitative_compensation_claim"": 3}"
Helena-West Helena,2,"{""strong"": 1, ""weak"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 1}"
Hellertown,6,"{""strong"": 2, ""weak"": 4}","{""context_only"": 4, ""quantitative_compensation_claim"": 2}"
Henderson,8,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 1, ""weak"": 5}","{""context_only"": 3, ""direct_text_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
Hendersonville,17,"{""not_supported"": 6, ""strong"": 5, ""weak"": 6}","{""context_only"": 9, ""direct_text_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
Henlopen Acres,6,"{""moderate"": 2, ""not_supported"": 1, ""weak"": 3}","{""context_only"": 3, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 1}"
Henryetta,1,"{""weak"": 1}","{""documentary_mechanism_claim"": 1}"
Herington,4,"{""moderate"": 1, ""weak"": 3}","{""context_only"": 2, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1}"
Herkimer,1,"{""weak"": 1}","{""context_only"": 1}"
Hermantown,15,"{""moderate"": 2, ""not_supported"": 3, ""strong"": 3, ""weak"": 7}","{""context_only"": 7, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 4, ""quantitative_compensation_claim"": 2}"
Heyburn,1,"{""strong"": 1}","{""quantitative_compensation_claim"": 1}"
Hiawatha,2,"{""not_supported"": 1, ""weak"": 1}","{""context_only"": 2}"
Hickory Hills,1,"{""weak"": 1}","{""context_only"": 1}"
High Springs,5,"{""moderate"": 5}","{""context_only"": 2, ""quantitative_compensation_claim"": 3}"
Highland,8,"{""moderate"": 5, ""weak"": 3}","{""context_only"": 2, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 3}"
